wave,flux,unc
1.09936,8.63E-12,2.45E-13
1.09963,9.01E-12,2.38E-13
1.0999,8.93E-12,2.44E-13
1.10017,9.18E-12,2.61E-13
1.10043,8.71E-12,2.65E-13
1.1007,8.13E-12,2.66E-13
1.10097,7.47E-12,2.86E-13
1.10124,7.96E-12,2.44E-13
1.10151,8.24E-12,2.04E-13
1.10178,8.46E-12,2.31E-13
1.10205,8.39E-12,2.39E-13
1.10232,8.14E-12,2.34E-13
1.10258,8.18E-12,2.39E-13
1.10285,8.16E-12,2.66E-13
1.10312,8.02E-12,3.37E-13
1.10339,7.75E-12,3.82E-13
1.10366,8.14E-12,4.03E-13
1.10393,8.10E-12,4.07E-13
1.1042,7.46E-12,3.70E-13
1.10447,7.33E-12,3.84E-13
1.10473,7.61E-12,4.03E-13
1.105,7.65E-12,3.24E-13
1.10527,6.78E-12,2.95E-13
1.10554,6.27E-12,3.08E-13
1.10581,6.22E-12,2.89E-13
1.10608,6.49E-12,2.94E-13
1.10635,7.01E-12,3.22E-13
1.10662,7.29E-12,2.78E-13
1.10688,7.89E-12,2.45E-13
1.10715,7.70E-12,3.19E-13
1.10742,7.46E-12,3.63E-13
1.10769,6.48E-12,3.59E-13
1.10796,6.11E-12,3.43E-13
1.10823,6.17E-12,3.24E-13
1.1085,7.17E-12,3.09E-13
1.10877,7.60E-12,2.72E-13
1.10904,7.49E-12,2.87E-13
1.1093,6.97E-12,3.26E-13
1.10957,6.38E-12,3.14E-13
1.10984,5.89E-12,2.93E-13
1.11011,5.56E-12,2.99E-13
1.11038,5.42E-12,2.89E-13
1.11065,4.62E-12,2.67E-13
1.11092,4.24E-12,2.39E-13
1.11119,4.38E-12,2.35E-13
1.11145,5.25E-12,3.24E-13
1.11172,5.65E-12,3.64E-13
1.11199,5.66E-12,2.93E-13
1.11226,6.03E-12,2.63E-13
1.11253,5.81E-12,2.88E-13
1.1128,5.69E-12,2.99E-13
1.11307,5.08E-12,3.62E-13
1.11334,5.49E-12,3.83E-13
1.1136,5.05E-12,3.25E-13
1.11387,4.86E-12,3.04E-13
1.11414,4.88E-12,3.20E-13
1.11441,5.61E-12,2.98E-13
1.11468,6.40E-12,3.08E-13
1.11495,6.39E-12,3.96E-13
1.11522,5.74E-12,4.22E-13
1.11548,5.25E-12,3.94E-13
1.11575,5.56E-12,3.67E-13
1.11602,5.91E-12,3.46E-13
1.11629,5.37E-12,4.38E-13
1.11656,4.48E-12,5.42E-13
1.11683,3.97E-12,5.11E-13
1.1171,3.98E-12,4.11E-13
1.11737,4.56E-12,3.60E-13
1.11763,5.37E-12,3.63E-13
1.1179,6.61E-12,3.28E-13
1.11817,7.07E-12,3.25E-13
1.11844,7.20E-12,3.43E-13
1.11871,7.11E-12,3.12E-13
1.11891,6.55E-12,2.51E-13
1.11924,5.17E-12,2.19E-13
1.11956,4.14E-12,1.92E-13
1.11989,4.57E-12,1.85E-13
1.12021,5.39E-12,2.08E-13
1.12054,6.04E-12,2.33E-13
1.12086,6.36E-12,2.32E-13
1.12119,6.45E-12,2.01E-13
1.12152,6.24E-12,1.92E-13
1.12184,5.24E-12,1.96E-13
1.12217,4.47E-12,2.06E-13
1.12249,4.46E-12,2.21E-13
1.12282,5.48E-12,2.32E-13
1.12314,6.33E-12,2.30E-13
